Where are you from? 	고향이 어디십니까? 
`Hi, Jack. What can I do for you? `	`어어, 잭. 무슨 일이지? `
Is she around right now? 	(지니가) 지금 있나요? 
Make yourself at home. 	편히 앉아요. 
Have a seat. 	앉아요. 
Thanks for taking me. 	태워다 주어서 고마워. 
`So long, Jeni. `	`지니야, 잘 가. `
Would you just listen to me before you say that? 	그런 식으로 말씀하시기 전에 제 말 좀 들어보세요. 
Do you hear me? 	내 말 똑똑히 듣고 있니? 
We're so much alike. 	우리는 닮은 점이 아주 많아. 
He just refuses to see one good thing about him. 	그의 좋은 점은 단 한 가지도 보시려고 하지를 않아. 
I got some good news for both of you. 	두 사람에게 좋은 소식이 있어. 
That's quite a surprise. 	상당히 놀라운 사실이군요. 
What's the matter? 	왜 그래? 
That's not gonna make any difference. 	그건 상관없을 거야. 
I'll make it so nice and easy. 	멋지고 쉽게 해 드리죠. 
Something's burning. 	뭔가가 타는군. 
You scared me. 	너 때문에 놀랐잖아. 
Make a wish. 	소원을 빌어. 
I'm afraid I've got some pretty bad news for you. 	당신께 전할 좋지 못한 소식이 있어요. 
I don't know how to say this. 	어떻게 이 말을 해야 좋을지 모르겠습니다. 
You don't owe me something. 	당신은 나한테 빚진 게 없어요. 
You know that? 	알겠니? 
It never kept good time anyway. 	그건 어차피 시간도 맞질 않는다구. 
They laughed at both of us. 	그들은 우리를 비웃었어요. 
Any trouble with Polly tonight? 	오늘밤에 폴리와 무슨 문제라도 있었나요? 
Let's do a duet. 	듀엣으로 해 보자. 
You know this is for fun.	이것은 친선 경기입니다. 
Stay awake. 	정신 바짝 차려라. 
We have a draw. 	경기는 무승부입니다. 
That's the name of the game. 	경기란 그래야 되는 거야. 
On behalf of all the citizens of Philadelphia ~ 	필라델피아의 모든 시민을 대신하여 ~ 
It is a tremendous honor that we present this memorial. 	이 같은 기념물을 선사하게 되어 더할 나위 없이 기쁩니다. 
What are you talking about? 	도대체 무슨 말씀을 하시는 거예요? 
You're crazy! 	미쳤군요! 
Let's put it this way. 	이런 식으로 생각해보자. 
It could happen to anybody. 	그런 일은 누구에게나 있을 수 있는 일이지. 
`Get out of here, will you? `	저리 비키지 못해요! 
How about a picture for me? 	사진 한 장 찍읍시다. 
`All right, fans! Here we go. `	팬 여러분. 그럼 지금부터 시작해 보겠습니다. 
I have no comment. 	할 말이 없습니다. 
What happened? 	어찌된 거예요? 
Let's get him to the hospital immediately. 	빨리 병원으로 옮깁시다. 
That's not the way to do it. 	그런 식으로 하면 안 돼. 
To be honest with you ~ 	솔직히 말해서 ~ 
We get sick inside trying to live with it. 	우리는 그런 고통을 인내하며 살아가는 거야. 
Don't back off. 	물러서지 마라. 
Now you got to get it back. 	이제 그걸 되찾아야 해.
You got me curious. 	내가 호기심을 갖게 하는군. 
When will the match take place? 	경기는 언제 열릴 겁니까? 
His time is passed. 	그의 전성기는 지나갔습니다. 
`Don't listen to it, Rocky. `	`록키, 저런 말은 듣지 마. `
You're gonna owe me a big favor. 	너는 나의 큰 부탁을 하나 들어줘야 해. 
You forgot anything? 	잊은 건 없어요? 
Don't give anybody a hard time. 	다른 사람들을 괴롭히면 안 된다. 
This is where I started. 	이곳이 바로 내가 시작했던 곳이지. 
I don't need you. 	당신과는 상관없어. 
Ready to go. 	시작하자구요. 
How do you feel? 	컨디션은 좀 어때요? 
I got a reputation. 	체면이 있지. 
I'll be right back. 	금방 돌아올게. 
`Come on, it'll take time, but it will come. `	`자, 어서. 시간은 걸리지만 될 거야. `
He can't train like a colored fighter. 	그는 흑인처럼 훈련을 받을 수는 없다구. 
Micky never had me do this. 	미키는 이런 걸 안 시켰어요. 
`Ready, Set, Go! `	준비! 땅! 
I want to ask you something important. 	중요한 말을 좀 물어보겠어요. 
I don't know what you want me to say. 	내가 무슨 말을 해 주길 바라는지 모르겠군. 
You did what you were expected to do. 	당신은 기대한 일을 해냈어요. 
You are not a man anymore.	당신은 이제 더 이상 남자가 아니에요. 
When did you think of this? 	언제 이런 생각을 해냈죠? 
Anything you say. 	무슨 말을 하든 상관하지 않겠어. 
Why were you so late? 	어쩌다 이렇게 늦으셨나요? 
What do you know about Moonraker? 	문레이커에 대해 자네가 아는 바가 뭔가? 
I can imagine. 	그럴 테죠. 
I've got something for you. 	줄 것이 있어요. 
Welcome to California. Mr. Bond. 	`본드, 캘리포니아에 오신 것을 환영합니다. `
We're approaching the main complex now. 	우리가 지금 향하고 있는 곳이 바로 주공장이죠. 
Call me if you need anything. 	뭐든지 필요하면 저에게 연락하세요. 
I guess we better get started. 	그럼 시작해 볼까요? 
How did you know? 	어떻게 아셨죠? 
That's what I'd like to talk to you about. 	바로 그게 제가 당신과 대화를 나누고 싶은 부분입니다. 
That flushed across my mind. 	언뜻 그런 생각이 스쳤어요. 
Why don't you ask him yourself? 	그 분께 직접 여쭤 보시지 그러세요. 
Do you have someone in mind? 	누구 생각나는 사람 없나? 
`Flight 1282 to Rio de Janeiro, now boarding in Gate Number 7.`	여러분께서는 지금 7번 게이트로 탑승해 주시기 바랍니다. 
They are a subsidy of the Drax Group. 	드랙스 그룹의 계열사예요. 
It's something we have to do. 	우리가 해야 되는 일이오. 
I did tell you not to talk to any strange men. 	그러길래 한눈팔지 말라고 했잖아. 
`Come on, I'll drop you off. `	가자. 내가 데려다 줄게. 
Haven't we met before somewhere? 	예전에 어디선가 본 적이 있는 것 같은데요. 
That's no surprise. 	놀랄 일이 아니에요. 
What was that for? 	웬 일이오? 
We are in great shape. 	저희는 무사합니다. 
`Everybody, listen up. Listen up. `	`여러분, 제 말 좀 잘 들어봐요. `
She's gonna make a television debut on a commercial. 	TV 광고에 데뷔하게 됩니다. 
Are we taping this? 	우린 이 프로그램을 녹화할 건가요? 
`Mick, get your feet off the table. `	`믹, 테이블에 올려놓은 발을 내려놔라. `
We had a long talk about a week ago. 	약 일주일 전에 긴 대화를 나누었어요. 
`George, did you get the sense that I liked you? `	`조지, 내가 자네를 좋아하는 것 같았나? `
`We never really talked about this, did we? `	이런 얘기를 한 번도 해본 적도 없었잖아요? 
I was supposed to meet her for dinner. 	그녀와 저녁 식사 약속이 되어 있었어요. 
I'll be there in ten minutes. 	10분 후에 그리로 갈게. 
You two are the most qualified for the job.	자네 둘이 이 일에는 가장 적격입니다. 
How do I know it's the police? 	내가 경찰인지 어떻게 알아요? 
I use that all the time to break the ice when I meet people. 	난 사람을 만나면 서먹서먹한 것을 없애기 위해 그런 방법을 써요. 
What do I call you? 	댁을 뭐라고 부르면 됩니까? 
That's all right with me. 	저는 괜찮아요. 
I'll move in the small room. 	제가 작은 방으로 옮기죠. 
`It's only room service, guys. `	보나마나 룸서비스예요. 
I had a job interview. 	난 직업과 관련된 면접을 했어요. 
Can you take us there? 	거기까지 안내해 줄 수 있겠소? 
Can you smell what I'm smelling? 	무슨 냄새 나지요? 
I'm peeping Tom. 	엿보러 가는 거요. 
You couldn't even give me a parking ticket. 	댁은 나한테 불법 주차 딱지조차 발급할 수 없소. 
This house is owned by the South African government. 	여기는 남아공화국 소유의 저택이오. 
He's a crook. 	그 놈은 악당이에요. 
He's beyond the law. 	그는 법의 제약을 받지 않아. 
I can certainly help him do that. 	그렇다면 제가 틀림없이 도와드리죠. 
I want you to talk him out of it. 	그 친구 좀 말려 주셨으면 해요. 
I really wanted to apologize for the other day. 	지난 번 일에 대해 진심으로 사과드리고 싶었어요. 
I forgot your first name. 	이름이 뭐였지요? 
Watch your step. 	발 조심 하세요. 
I haven't got any wine. How about a beer? 	포도주는 없네요. 맥주는 어때요?
Are there any vacancies here? 	여기에 빈 집이 있나? 
`No, I was kidding. `	`아니에요, 그냥 해본 소리에요. `
`Okay, everybody, line up. `	`좋아요, 모두 줄을 서세요. `
You're next. 	다음은 당신 차례예요. 
`Bastian, go for it! `	`바스티안, 뛰어들어! `
I got a cramp. 	쥐가 났어요. 
So how'd it go? 	`그래서, 어떻게 됐나요? `
Is Ms. Station Wagon gonna pick you up again? 	스테이션왜건을 타고 다니는 그 여자가 또 아빠를 데리러 올 건가요? 
`Ah, Bastian. Well, it's been a while. `	`아아, 바스티안, 꽤 오랜만이군요. `
`Do you carry ``How to`` books? `	방법론에 관한 책을 취급하나요? 
We need your help. 	우리 좀 도와주세요. 
Put it back! 	제 자리에다 두지 못해! 
`Nimbly's the name, tour guide's the game. `	`님블리는 이름이고, 관광 안내원이 내 일이죠. `
Let me show you the sights of Silver City. 	실버시티를 구경시켜 줄게요. 
Watch out! 	조심해! 
Come on. Try it out. 	`자아, 한 번 써 봐요.`
I'm sure there's a reason for the acid. 	염산을 쓴 데는 틀림없이 이유가 있을 거예요. 
I wouldn't want to change anything. 	나는 아무것도 변화시킬 마음이 없어요. 
Everything seems fine in Fantasia. 	판타지아는 모든 것이 아름다워 보이는군요. 
How far is it to the Ivory Tower? 	상아탑까지는 얼마나 멀지요? 
Please tell me. What's going on? 	제발 말해 봐요. 어떻게 된 거예요? 
Are you hurt? 	다쳤어요? 
Tell me what I have to do. 	내가 어떻게 해야 하는지 말해 봐요. 
We must get all the people in Fantasia to help us. 	우리는 판타지아에 있는 모든 사람이 우리를 돕도록 하게 해야 돼요. 
Who will join me on my quest? 	누가 제 제안에 동참하시겠습니까? 
Do you know what that means? 	그것이 곧 무엇을 의미하는지 알고 계십니까? 
Welcome back. 	이렇게 돌아온 것을 환영해요. 
I didn't expect to find you. 	당신을 볼 줄은 몰랐어요. 
Do you know how to get there? 	그 곳으로 가는 방법을 알고 있나요? 
`When I'm right, I am right. `	내가 옳다면 옳은 거예요. 
What are you gonna do? 	어쩔 셈인가요? 
I've got an itch behind my ear. 	귓등이 가려워요. 
The windows got broke! 	창문이 부서졌어요! 
Something's come up. 	급한 일이 생겼어요. 
It has your address inside the cover. 	겉장 안쪽에 이곳의 주소가 있더군요. 
When did you last see him? 	언제 마지막으로 그를 보았죠? 
We are getting worried about you.	우리는 당신을 걱정하기 시작했어요. 
What took you so long? 	왜 그렇게 늦으셨나요? 
`What if something happens to you, Bastian? `	`바스티안, 네게 무슨 일이라도 생기면 어떻게 되는 거지? `
Well. what about you? 	그렇다면 당신은 어때요? 
Make it loud. 	큰 소리로 말하세요. 
That should get somebody's attention. 	누군가가 들었을 거예요. 
I admit defeat. 	패배를 인정합니다. 
Am I wrong? 	제가 잘못된 건가요? 
Out of the question! 	말도 안 되는 소리! 
You leave me no choice. 	선택의 여지를 주지 않는군요. 
Don't be long. 	오래 있지 마세요. 
I want to show you something. 	보여줄 게 있어요. 
He hardly remembered his father. 	그는 아버지조차 기억하지 못했어요. 
Don't get me wrong. 	오해하지 마세요. 
Can you forgive me? 	저를 용서해 줄 수 있지요? 
Your mother would be proud. 	댁의 어머니도 좋아하실 겁니다. 
Courage comes from the heart. 	용기는 마음에서 나오는 겁니다. 
`Where there is a will, there is a way. `	뜻이 있는 곳에 길이 있다. 
What's with the shoe? 	신발이 뭐가 잘못됐나요? 
I feel kinda tired. 	좀 피곤해요. 
I'll take care of this. 	이건 제가 처리할게요. 
I have a doctor's appointment today. 	오늘 의사와 약속을 해 놨어요. 
I don't feel good. 	몸이 좋지 않아요. 
So what? 	그래서 어쨌다는 거죠? 
Think about what I just said. 	내가 방금 한 말을 생각해 보라구요. 
